"","Category_of_Authors","Mean_Citations","Historically_Adv_Disav","Number_of_Articles"
"1","Multiple",0,"Advantage",3
"2","Multiple",1,"Advantage",11
"3","Multiple",2,"Advantage",7
"4","Multiple",3,"Advantage",6
"5","Multiple",4,"Advantage",8
"6","Multiple",4,"Disadvantage",1
"7","Multiple",5,"Advantage",8
"8","Multiple",6,"Advantage",17
"9","Multiple",6,"Disadvantage",1
"10","Multiple",7,"Advantage",12
"11","Multiple",8,"Advantage",8
"12","Multiple",9,"Advantage",10
"13","Multiple",10,"Advantage",8
"14","Multiple",11,"Advantage",9
"15","Multiple",11,"Disadvantage",1
"16","Multiple",12,"Advantage",12
"17","Multiple",13,"Advantage",8
"18","Multiple",13,"Disadvantage",1
"19","Multiple",14,"Advantage",6
"20","Multiple",15,"Advantage",7
"21","Multiple",16,"Advantage",9
"22","Multiple",17,"Advantage",8
"23","Multiple",18,"Advantage",11
"24","Multiple",19,"Advantage",4
"25","Multiple",20,"Advantage",6
"26","Multiple",21,"Advantage",12
"27","Multiple",22,"Advantage",4
"28","Multiple",22,"Disadvantage",1
"29","Multiple",23,"Advantage",3
"30","Multiple",24,"Advantage",7
"31","Multiple",25,"Advantage",6
"32","Multiple",25,"Disadvantage",1
"33","Multiple",26,"Advantage",7
"34","Multiple",27,"Advantage",4
"35","Multiple",28,"Advantage",6
"36","Multiple",29,"Advantage",3
"37","Multiple",30,"Advantage",3
"38","Multiple",31,"Advantage",7
"39","Multiple",32,"Advantage",5
"40","Multiple",33,"Advantage",2
"41","Multiple",34,"Advantage",3
"42","Multiple",35,"Advantage",5
"43","Multiple",36,"Advantage",5
"44","Multiple",37,"Advantage",2
"45","Multiple",38,"Advantage",5
"46","Multiple",39,"Advantage",8
"47","Multiple",40,"Advantage",6
"48","Multiple",41,"Advantage",3
"49","Multiple",42,"Advantage",9
"50","Multiple",43,"Advantage",3
"51","Multiple",44,"Advantage",1
"52","Multiple",45,"Advantage",1
"53","Multiple",46,"Advantage",3
"54","Multiple",47,"Advantage",3
"55","Multiple",48,"Advantage",3
"56","Multiple",49,"Advantage",1
"57","Multiple",50,"Advantage",4
"58","Multiple",51,"Advantage",2
"59","Multiple",52,"Advantage",1
"60","Multiple",53,"Advantage",1
"61","Multiple",54,"Advantage",4
"62","Multiple",55,"Advantage",3
"63","Multiple",56,"Advantage",3
"64","Multiple",57,"Advantage",3
"65","Multiple",58,"Advantage",2
"66","Multiple",59,"Advantage",1
"67","Multiple",60,"Advantage",2
"68","Multiple",61,"Advantage",4
"69","Multiple",62,"Advantage",1
"70","Multiple",63,"Advantage",2
"71","Multiple",64,"Advantage",3
"72","Multiple",65,"Advantage",1
"73","Multiple",66,"Advantage",3
"74","Multiple",67,"Advantage",1
"75","Multiple",68,"Advantage",1
"76","Multiple",69,"Advantage",2
"77","Multiple",70,"Advantage",3
"78","Multiple",72,"Advantage",2
"79","Multiple",73,"Advantage",1
"80","Multiple",74,"Advantage",1
"81","Multiple",75,"Advantage",2
"82","Multiple",76,"Advantage",1
"83","Multiple",77,"Advantage",1
"84","Multiple",80,"Advantage",1
"85","Multiple",81,"Advantage",1
"86","Multiple",84,"Advantage",2
"87","Multiple",85,"Advantage",2
"88","Multiple",87,"Advantage",1
"89","Multiple",90,"Advantage",2
"90","Multiple",92,"Advantage",2
"91","Multiple",94,"Advantage",1
"92","Multiple",96,"Advantage",1
"93","Multiple",97,"Advantage",1
"94","Multiple",98,"Advantage",1
"95","Multiple",99,"Advantage",1
"96","Multiple",100,"Advantage",1
"97","Multiple",101,"Advantage",1
"98","Multiple",102,"Advantage",2
"99","Multiple",105,"Advantage",5
"100","Multiple",106,"Advantage",1
"101","Multiple",107,"Advantage",3
"102","Multiple",108,"Advantage",1
"103","Multiple",115,"Advantage",2
"104","Multiple",115,"Disadvantage",1
"105","Multiple",118,"Advantage",2
"106","Multiple",120,"Advantage",2
"107","Multiple",122,"Advantage",1
"108","Multiple",123,"Advantage",1
"109","Multiple",127,"Advantage",1
"110","Multiple",134,"Advantage",1
"111","Multiple",136,"Advantage",1
"112","Multiple",139,"Advantage",1
"113","Multiple",148,"Advantage",1
"114","Multiple",155,"Advantage",2
"115","Multiple",157,"Advantage",1
"116","Multiple",160,"Advantage",1
"117","Multiple",171,"Advantage",1
"118","Multiple",179,"Advantage",1
"119","Multiple",191,"Advantage",1
"120","Multiple",207,"Advantage",1
"121","Multiple",223,"Advantage",1
"122","Multiple",241,"Advantage",1
"123","Multiple",262,"Advantage",1
"124","Multiple",292,"Advantage",1
"125","Single",0,"Advantage",1
"126","Single",1,"Advantage",2
"127","Single",6,"Disadvantage",1
"128","Single",10,"Advantage",2
"129","Single",12,"Advantage",1
"130","Single",13,"Advantage",1
"131","Single",14,"Advantage",3
"132","Single",16,"Advantage",2
"133","Single",17,"Advantage",2
"134","Single",19,"Advantage",1
"135","Single",29,"Advantage",1
"136","Single",30,"Advantage",2
"137","Single",41,"Advantage",1
"138","Single",52,"Advantage",1
"139","Single",52,"Disadvantage",1
"140","Single",59,"Advantage",1
"141","Single",69,"Advantage",1
"142","Single",72,"Advantage",1
"143","Single",81,"Advantage",1
"144","Single",104,"Advantage",1
"145","Single",120,"Advantage",1
